Repository,Repository_owner,Repository_fullname,Is_fork,Parent,Stars,Watchers,Forks,Description,Language,Languages,Topic,Contributors,Open_issues,Open_pull_requests,License,Created,Last_update
opencv,opencv,opencv/opencv,False,,68004,68004,54905,Open Source Computer Vision Library,C++,"['C++', 'C', 'Python', 'CMake', 'Java', 'Objective-C++', 'Cuda', 'Swift', 'JavaScript', 'Objective-C', 'HTML', 'Shell', 'Perl', 'PowerShell', 'Kotlin', 'TeX', 'AIDL', 'Batchfile', 'Prolog', 'Dockerfile']","['c-plus-plus', 'computer-vision', 'deep-learning', 'image-processing', 'opencv']",290,2495,115,LICENSE,2012-07-19 09:40:17,2023-04-13 10:10:38
gin,gin-gonic,gin-gonic/gin,False,,67899,67899,7361,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.",Go,"['Go', 'Makefile']","['framework', 'gin', 'go', 'middleware', 'performance', 'router', 'server']",373,670,166,LICENSE,2014-06-16 23:57:25,2023-04-13 10:31:28
tailwindcss,tailwindlabs,tailwindlabs/tailwindcss,False,,67127,67127,3459,A utility-first CSS framework for rapid UI development.,HTML,"['HTML', 'JavaScript', 'CSS', 'Rust', 'TypeScript', 'Shell', 'Svelte', 'SCSS']","['css', 'css-framework', 'functional-css', 'postcss', 'responsive', 'tailwindcss', 'utility-classes']",239,14,9,LICENSE,2017-10-06 14:59:14,2023-04-13 10:29:28
svelte,sveltejs,sveltejs/svelte,False,,66933,66933,3279,Cybernetically enhanced web apps,TypeScript,"['TypeScript', 'Svelte', 'JavaScript']","['compiler', 'template', 'ui']",426,831,71,LICENSE.md,2016-11-20 18:13:05,2023-04-13 10:28:19
spring-boot,spring-projects,spring-projects/spring-boot,False,,66598,66598,38382,Spring Boot,Java,"['Java', 'Kotlin', 'HTML', 'Shell', 'JavaScript', 'Groovy', 'Ruby', 'Smarty', 'Dockerfile', 'Batchfile', 'Mustache', 'Vim Snippet', 'CSS']","['framework', 'java', 'spring', 'spring-boot']",365,665,39,LICENSE.txt,2012-10-19 15:02:57,2023-04-13 09:16:30
hugo,gohugoio,gohugoio/hugo,False,,66502,66502,7133,The world’s fastest framework for building websites.,Go,"['Go', 'HTML', 'Shell', 'Dockerfile']","['blog-engine', 'cms', 'content-management-system', 'documentation-tool', 'go', 'hugo', 'static-site-generator']",427,723,70,LICENSE,2013-07-04 15:26:26,2023-04-13 10:24:30
json-server,typicode,typicode/json-server,False,,66390,66390,6538,Get a full fake REST API with zero coding in less than 30 seconds (seriously),JavaScript,"['JavaScript', 'HTML', 'CSS', 'Shell']",[],69,655,86,LICENSE,2013-11-27 13:21:13,2023-04-13 09:41:33
frp,fatedier,fatedier/frp,False,,66348,66348,11346,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,Go,"['Go', 'Vue', 'TypeScript', 'Shell', 'JavaScript', 'Makefile', 'HTML', 'CSS']","['expose', 'firewall', 'frp', 'go', 'http-proxy', 'nat', 'proxy', 'reverse-proxy', 'tunnel']",85,109,2,LICENSE,2015-12-21 15:24:59,2023-04-13 09:14:51
nvm,nvm-sh,nvm-sh/nvm,False,,66229,66229,7108,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions,Shell,"['Shell', 'Makefile', 'Dockerfile', 'JavaScript']","['bash', 'install', 'lts', 'node', 'node-js', 'nodejs', 'nvm', 'nvmrc', 'posix', 'posix-compliant', 'shell', 'version-manager', 'zsh']",331,375,58,LICENSE.md,2010-04-15 17:47:47,2023-04-13 09:57:27
moby,moby,moby/moby,False,,65684,65684,18607,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,Go,"['Go', 'Shell', 'Dockerfile', 'PowerShell', 'Makefile', 'Python', 'C', 'HCL', 'Assembly']","['containers', 'docker', 'go']",406,4314,326,LICENSE,2013-01-18 18:10:57,2023-04-13 06:40:26
pytorch,pytorch,pytorch/pytorch,False,,65237,65237,17997,Tensors and Dynamic neural networks in Python with strong GPU acceleration,C++,"['C++', 'Python', 'Cuda', 'C', 'Objective-C++', 'CMake', 'Starlark', 'Assembly', 'Shell', 'Jupyter Notebook', 'GLSL', 'Java', 'PureBasic', 'Metal', 'Objective-C', 'JavaScript', 'Dockerfile', 'Batchfile', 'Ruby', 'Makefile', 'HTML', 'Yacc', 'CSS', 'LLVM', 'PowerShell', 'GDB', 'Vim Script']","['autograd', 'deep-learning', 'gpu', 'machine-learning', 'neural-network', 'numpy', 'python', 'tensor']",345,11615,847,LICENSE,2016-08-13 05:26:41,2023-04-13 10:19:00
awesome-chatgpt-prompts,f,f/awesome-chatgpt-prompts,False,,65058,65058,7974,This repo includes ChatGPT prompt curation to use ChatGPT better.,HTML,['HTML'],"['bots', 'chatbot', 'chatgpt', 'chatgpt-api', 'language']",74,235,235,LICENSE,2022-12-05 13:54:13,2023-04-13 10:31:58
neovim,neovim,neovim/neovim,False,,64798,64798,4579,Vim-fork focused on extensibility and usability,Vim Script,"['Vim Script', 'C', 'Lua', 'Python', 'CMake', 'Shell', 'Scheme', 'Perl', 'Makefile', 'Roff', 'C++', 'KRL', 'Nix', 'MATLAB', 'HTML', 'Tcl', 'BitBake', 'Batchfile', 'Ruby']","['api', 'c', 'lua', 'neovim', 'nvim', 'text-editor', 'vim']",449,1664,296,LICENSE.txt,2014-01-31 13:39:22,2023-04-13 10:06:07
Front-End-Checklist,thedaviddias,thedaviddias/Front-End-Checklist,False,,64768,64768,6223,🗂 The perfect Front-End Checklist for modern websites and meticulous developers,,[],"['checklist', 'css', 'front-end-developer-tool', 'front-end-development', 'frontend', 'guidelines', 'html', 'javascript', 'lists', 'reference', 'resources', 'web-development']",107,5,0,LICENSE,2017-10-16 10:12:36,2023-04-13 05:08:41
mall,macrozheng,macrozheng/mall,False,,64721,64721,26560,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,Java,"['Java', 'Shell', 'Dockerfile']","['docker', 'elasticsearch', 'elk', 'java', 'mongodb', 'mybatis', 'mysql', 'rabbitmq', 'redis', 'spring', 'spring-boot', 'spring-cloud', 'spring-security', 'springboot', 'springcloud', 'swagger-ui']",1,32,6,LICENSE,2018-04-04 01:11:44,2023-04-13 09:39:20
app-ideas,florinpop17,florinpop17/app-ideas,False,,64085,64085,8355,A Collection of application ideas which can be used to improve your coding skills.,,[],"['applications', 'coding', 'hacktoberfest', 'ideas']",62,358,282,LICENSE,2019-02-25 18:36:56,2023-04-13 10:06:48
iptv,iptv-org,iptv-org/iptv,False,,63772,63772,209,Collection of publicly available IPTV channels from all over the world,JavaScript,"['JavaScript', 'Shell']","['iptv', 'm3u', 'playlist', 'streams', 'tv']",219,951,4,LICENSE,2018-11-14 22:00:57,2023-04-13 08:21:44
Awesome-Hacking,Hack-with-Github,Hack-with-Github/Awesome-Hacking,False,,63660,63660,8441,"A collection of various awesome lists for hackers, pentesters and security researchers",,[],"['android', 'awesome', 'bug-bounty', 'fuzzing', 'hacking', 'penetration-testing', 'pentesting-windows', 'reverse-engineering', 'security']",21,23,5,LICENSE,2016-03-30 15:47:10,2023-04-13 10:09:10
stable-diffusion-webui,AUTOMATIC1111,AUTOMATIC1111/stable-diffusion-webui,False,,63487,63487,11778,Stable Diffusion web UI,Python,"['Python', 'JavaScript', 'HTML', 'CSS', 'Shell', 'Batchfile']","['ai', 'ai-art', 'deep-learning', 'diffusion', 'gradio', 'image-generation', 'image2image', 'img2img', 'pytorch', 'stable-diffusion', 'text2image', 'torch', 'txt2img', 'unstable', 'upscaling', 'web']",364,1950,113,LICENSE.txt,2022-08-22 14:05:26,2023-04-13 10:30:12
reveal.js,hakimel,hakimel/reveal.js,False,,63478,63478,16499,The HTML Presentation Framework,JavaScript,"['JavaScript', 'HTML', 'SCSS', 'CSS']","['presentations', 'slides', 'slideshow']",294,734,86,LICENSE,2011-06-07 18:54:22,2023-04-13 05:16:18
elasticsearch,elastic,elastic/elasticsearch,False,,63348,63348,22960,"Free and Open, Distributed, RESTful Search Engine",Java,"['Java', 'Groovy', 'Shell', 'ANTLR', 'Python', 'Dockerfile', 'Batchfile', 'CSS', 'Emacs Lisp', 'AMPL', 'HTML', 'PowerShell', 'JavaScript', 'Mustache', 'FreeMarker']","['elasticsearch', 'java', 'search-engine']",344,4104,491,LICENSE.txt,2010-02-08 13:20:56,2023-04-13 08:54:40
webpack,webpack,webpack/webpack,False,,62929,62929,8709,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",JavaScript,"['JavaScript', 'TypeScript', 'WebAssembly', 'CSS', 'CoffeeScript', 'HTML', 'Less', 'Pug', 'Shell']","['amd', 'build-tool', 'commonjs', 'compiler', 'es2015', 'es6', 'esm', 'javascript', 'javascript-compiler', 'javascript-modules', 'loaders', 'module-bundler', 'plugins', 'web', 'web-performance', 'webpack']",402,315,121,LICENSE,2012-03-10 10:08:14,2023-04-13 07:22:56
netdata,netdata,netdata/netdata,False,,62570,62570,5486,"Real-time performance monitoring, done right! https://www.netdata.cloud",C,"['C', 'JavaScript', 'Python', 'Shell', 'Jupyter Notebook', 'HTML', 'Makefile', 'C++', 'M4', 'CSS', 'CMake', 'Dockerfile', 'POV-Ray SDL', 'Kaitai Struct', 'Perl', 'Jolie', 'PHP']","['alerting', 'analytics', 'cncf', 'containers', 'dashboard', 'devops', 'docker', 'grafana', 'graphing', 'graphite', 'influxdb', 'iot', 'kubernetes', 'monitoring', 'netdata', 'notifications', 'observability', 'prometheus', 'statsd', 'time-series']",399,301,75,LICENSE,2013-06-17 18:39:10,2023-04-13 10:04:12
flask,pallets,pallets/flask,False,,62547,62547,15563,The Python micro framework for building web applications.,Python,"['Python', 'HTML', 'Shell', 'CSS']","['flask', 'jinja', 'pallets', 'python', 'web-framework', 'werkzeug', 'wsgi']",406,8,3,LICENSE.rst,2010-04-06 11:11:59,2023-04-13 10:04:11
swift,apple,apple/swift,False,,62312,62312,10027,The Swift Programming Language,C++,"['C++', 'Swift', 'C', 'Python', 'CMake', 'Objective-C', 'Shell', 'Objective-C++', 'LLVM', 'Emacs Lisp', 'Batchfile', 'Vim Script', 'Assembly', 'Roff', 'DTrace', 'Makefile', 'Ruby', 'D']",[],356,6453,675,LICENSE.txt,2015-10-23 21:15:07,2023-04-13 08:51:54
tauri,tauri-apps,tauri-apps/tauri,False,,62201,62201,1664,"Build smaller, faster, and more secure desktop applications with a web frontend.",Rust,"['Rust', 'TypeScript', 'JavaScript', 'Shell', 'NSIS', 'PowerShell', 'Dockerfile', 'HTML', 'AppleScript', 'Svelte', 'CSS', 'Batchfile', 'Standard ML']","['hacktoberfest', 'high-performance', 'rust', 'webview', 'works-with-clojurescript', 'works-with-construct', 'works-with-elm', 'works-with-flutter', 'works-with-gatsby', 'works-with-mint', 'works-with-phaser', 'works-with-quasar', 'works-with-react', 'works-with-reason', 'works-with-svelte', 'works-with-vue', 'works-with-yew']",233,464,61,LICENSE_APACHE-2.0,2019-07-13 09:09:37,2023-04-13 10:17:18
GitHub-Chinese-Top-Charts,GrowingGit,GrowingGit/GitHub-Chinese-Top-Charts,False,,61147,61147,8871,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。,Java,['Java'],[],1,121,8,LICENSE.md,2019-09-05 03:01:56,2023-04-13 10:30:22
express,expressjs,expressjs/express,False,,60549,60549,10420,"Fast, unopinionated, minimalist web framework for node.",JavaScript,"['JavaScript', 'Makefile', 'Shell']","['express', 'javascript', 'nodejs', 'server']",275,156,52,LICENSE,2009-06-26 18:56:01,2023-04-13 08:47:37
godot,godotengine,godotengine/godot,False,,60340,60340,10529,Godot Engine – Multi-platform 2D and 3D game engine,C++,"['C++', 'C#', 'C', 'GLSL', 'Java', 'Python', 'Objective-C++', 'JavaScript', 'GDScript', 'Kotlin', 'Shell', 'Objective-C', 'PowerShell', 'AppleScript', 'AIDL', 'CMake', 'GAP']","['game-development', 'game-engine', 'gamedev', 'godot', 'godotengine', 'hacktoberfest', 'multi-platform', 'open-source']",462,9334,1658,LICENSE.txt,2014-01-04 16:05:36,2023-04-13 09:44:49
Chart.js,chartjs,chartjs/Chart.js,False,,60289,60289,11825,Simple HTML5 Charts using the <canvas> tag,JavaScript,"['JavaScript', 'TypeScript', 'Shell', 'HTML']","['canvas', 'chart', 'graph', 'hacktoberfest', 'html5', 'html5-charts', 'javascript']",428,243,15,LICENSE.md,2013-03-17 23:56:36,2023-04-13 10:09:33
code-server,coder,coder/code-server,False,,59917,59917,4986,VS Code in the browser,TypeScript,"['TypeScript', 'Shell', 'HTML', 'CSS', 'Mustache', 'HCL', 'Dockerfile', 'Nix', 'Makefile', 'JavaScript']","['browser-ide', 'dev-tools', 'development-environment', 'ide', 'remote-work', 'vscode', 'vscode-remote']",197,258,1,LICENSE,2019-02-27 16:50:41,2023-04-13 09:24:24
awesome-mac,jaywcjlove,jaywcjlove/awesome-mac,False,,59566,59566,5778," Now we have become very big, Different from the original idea. Collect premium software in various categories.",JavaScript,"['JavaScript', 'Dockerfile']","['apple', 'awesome', 'awesome-list', 'awesome-lists', 'list', 'mac', 'mac-osx', 'macos', 'macosx', 'software']",450,137,44,LICENSE,2016-07-17 15:33:47,2023-04-13 09:15:07
core,home-assistant,home-assistant/core,False,,59564,59564,22737,:house_with_garden: Open source home automation that puts local control and privacy first.,Python,"['Python', 'Shell', 'Dockerfile', 'PLSQL', 'JavaScript', 'Jinja']","['asyncio', 'hacktoberfest', 'home-automation', 'internet-of-things', 'iot', 'mqtt', 'python', 'raspberry-pi']",403,2757,550,LICENSE.md,2013-09-17 07:29:48,2023-04-13 09:55:06
interviews,kdn251,kdn251/interviews,False,,59552,59552,12530,Everything you need to know to get the job.,Java,['Java'],"['algorithm', 'algorithm-challenges', 'algorithm-competitions', 'algorithms', 'coding-challenge', 'coding-challenges', 'coding-interview', 'coding-interviews', 'interview', 'interview-practice', 'interview-prep', 'interview-preparation', 'interview-questions', 'interviews', 'java', 'leetcode', 'leetcode-java', 'leetcode-questions', 'leetcode-solutions', 'technical-coding-interview']",28,109,78,LICENSE,2017-02-14 18:19:25,2023-04-13 10:04:03
redux,reduxjs,reduxjs/redux,False,,59462,59462,15397,Predictable state container for JavaScript apps,TypeScript,"['TypeScript', 'JavaScript', 'CSS']",['redux'],428,61,17,LICENSE.md,2015-05-29 23:53:15,2023-04-13 09:31:04
redis,redis,redis/redis,False,,59389,59389,22429,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps.",C,"['C', 'Tcl', 'Python', 'Ruby', 'Shell', 'Makefile', 'C++', 'Smarty', 'JavaScript']",[],388,2352,512,COPYING,2009-03-21 22:32:25,2023-04-13 10:14:03
atom,atom,atom/atom,False,,59290,59290,18351,:atom: The hackable text editor,JavaScript,"['JavaScript', 'Less', 'CoffeeScript', 'Shell', 'Batchfile', 'Dockerfile', 'HTML', 'EJS']","['atom', 'editor', 'electron', 'javascript', 'linux', 'macos', 'windows']",329,1001,32,LICENSE.md,2012-01-20 18:18:21,2023-04-13 09:49:55
angular.js,angular,angular/angular.js,False,,59210,59210,28130,AngularJS - HTML enhanced for web apps!,JavaScript,"['JavaScript', 'HTML', 'Shell', 'PHP', 'CSS']",[],400,467,76,LICENSE,2010-01-06 00:34:37,2023-04-13 09:14:53
protobuf,protocolbuffers,protocolbuffers/protobuf,False,,58938,58938,14945,Protocol Buffers - Google's data interchange format,C++,"['C++', 'C#', 'Java', 'Objective-C', 'C', 'Python', 'PHP', 'Starlark', 'Ruby', 'Kotlin', 'CMake', 'Shell', 'Rust', 'Swift', 'Emacs Lisp', 'Vim Script', 'Objective-C++', 'Batchfile', 'PowerShell', 'Awk', 'Makefile', 'M4']","['marshalling', 'protobuf', 'protobuf-runtime', 'protoc', 'protocol-buffers', 'protocol-compiler', 'rpc', 'serialization']",372,857,180,LICENSE,2014-08-26 15:52:15,2023-04-13 10:02:44
markdown-here,adam-p,adam-p/markdown-here,False,,58568,58568,11384,"Google Chrome, Firefox, and Thunderbird extension that lets you write email in Markdown and render it before sending.",JavaScript,"['JavaScript', 'CSS', 'HTML', 'Makefile']",[],11,322,26,LICENSE,2012-05-13 03:27:22,2023-04-13 07:07:24
awesome-machine-learning,josephmisiti,josephmisiti/awesome-machine-learning,False,,58492,58492,13987,"A curated list of awesome Machine Learning frameworks, libraries and software.",Python,['Python'],[],446,0,0,LICENSE,2014-07-15 19:11:19,2023-04-13 10:29:49
socket.io,socketio,socketio/socket.io,False,,58018,58018,10193,Realtime application framework (Node.JS server),TypeScript,"['TypeScript', 'JavaScript']","['javascript', 'nodejs', 'socket-io', 'websocket']",192,116,8,LICENSE,2010-03-11 18:24:48,2023-04-13 07:09:02
keras,keras-team,keras-team/keras,False,,57890,57890,19314,Deep Learning for humans,Python,"['Python', 'Starlark', 'Shell', 'Dockerfile']","['data-science', 'deep-learning', 'machine-learning', 'neural-networks', 'python', 'tensorflow']",423,414,129,LICENSE,2015-03-28 00:35:42,2023-04-13 07:54:31
jquery,jquery,jquery/jquery,False,,57354,57354,20750,jQuery JavaScript Library,JavaScript,"['JavaScript', 'HTML', 'PHP', 'CSS']",['jquery'],290,82,16,LICENSE.txt,2009-04-03 15:20:14,2023-04-13 10:02:55
ansible,ansible,ansible/ansible,False,,57003,57003,23232,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",Python,"['Python', 'PowerShell', 'Shell', 'C#', 'Jinja', 'Go', 'Makefile', 'Roff', 'Batchfile']","['ansible', 'hacktoberfest', 'python']",379,998,325,COPYING,2012-03-06 14:58:02,2023-04-13 09:16:28
Front-end-Developer-Interview-Questions,h5bp,h5bp/Front-end-Developer-Interview-Questions,False,,56863,56863,10850,"A list of helpful front-end related questions you can use to interview potential candidates, test yourself or completely ignore.",Nunjucks,"['Nunjucks', 'CSS', 'JavaScript']","['css-questions', 'front-end', 'html-questions', 'interview-questions', 'interview-test', 'js-questions']",219,10,6,LICENSE.md,2012-02-09 23:34:10,2023-04-13 09:30:33
fastapi,tiangolo,tiangolo/fastapi,False,,56594,56594,4713,"FastAPI framework, high performance, easy to learn, fast to code, ready for production",Python,"['Python', 'Shell', 'HTML', 'CSS']","['api', 'async', 'asyncio', 'fastapi', 'framework', 'json', 'json-schema', 'openapi', 'openapi3', 'pydantic', 'python', 'python-types', 'python3', 'redoc', 'rest', 'starlette', 'swagger', 'swagger-ui', 'uvicorn', 'web']",411,505,489,LICENSE,2018-12-08 08:21:47,2023-04-13 10:27:28
mermaid,mermaid-js,mermaid-js/mermaid,False,,56490,56490,4457,Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown,JavaScript,"['JavaScript', 'HTML', 'TypeScript', 'Yacc', 'Python', 'Vue', 'CSS', 'Shell']","['documentation', 'flowchart', 'hacktoberfest', 'hacktoberfest2022', 'javascript', 'typescript', 'uml-diagrams']",392,834,22,LICENSE,2014-11-01 23:52:32,2023-04-13 10:24:52
nocode,kelseyhightower,kelseyhightower/nocode,False,,56403,56403,4667,The best way to write secure and reliable applications. Write nothing; deploy nowhere.,Dockerfile,['Dockerfile'],[],1,4330,461,LICENSE,2018-02-06 23:54:00,2023-04-13 10:25:13
shadowsocks-windows,shadowsocks,shadowsocks/shadowsocks-windows,False,,56296,56296,16433,A C# port of shadowsocks,C#,"['C#', 'JavaScript']","['c-sharp', 'proxy', 'shadowsocks']",75,134,9,LICENSE.txt,2013-01-14 07:54:16,2023-04-13 09:07:07
lodash,lodash,lodash/lodash,False,,56052,56052,6875,"A modern JavaScript utility library delivering modularity, performance, & extras.",JavaScript,['JavaScript'],"['javascript', 'lodash', 'modules', 'utilities']",287,487,160,LICENSE,2012-04-07 04:11:46,2023-04-13 09:43:04
nest,nestjs,nestjs/nest,False,,55863,55863,6754,"A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications on top of TypeScript & JavaScript (ES6, ES7, ES8) 🚀",TypeScript,"['TypeScript', 'JavaScript', 'Shell']","['framework', 'hacktoberfest', 'javascript', 'javascript-framework', 'microservices', 'nest', 'nestjs', 'node', 'nodejs', 'nodejs-framework', 'typescript', 'typescript-framework', 'websockets']",369,66,28,LICENSE,2017-02-04 20:12:52,2023-04-13 08:44:20
33-js-concepts,leonardomso,leonardomso/33-js-concepts,False,,55755,55755,7807,📜 33 JavaScript concepts every developer should know.,JavaScript,['JavaScript'],"['angular', 'concepts', 'es6', 'es6-javascript', 'hacktoberfest', 'javascript', 'javascript-closures', 'javascript-engines', 'javascript-programming', 'nodejs', 'primitive-types', 'programming', 'react']",117,74,58,LICENSE,2018-09-04 13:27:04,2023-04-13 08:15:58
vite,vitejs,vitejs/vite,False,,55066,55066,4869,Next generation frontend tooling. It's fast!,TypeScript,"['TypeScript', 'JavaScript', 'HTML', 'CSS', 'Vue', 'AppleScript', 'Svelte', 'SCSS', 'Less', 'Stylus', 'SugarSS', 'Shell', 'Pug', 'Astro', 'Sass']","['build-tool', 'dev-server', 'frontend', 'hmr', 'vite']",450,500,121,LICENSE,2020-04-21 05:03:57,2023-04-13 10:17:15
grafana,grafana,grafana/grafana,False,,54856,54856,10706,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ",TypeScript,"['TypeScript', 'Go', 'Rich Text Format', 'HTML', 'SCSS', 'CUE', 'Starlark', 'Shell', 'JavaScript', 'Jsonnet', 'Dockerfile', 'Python', 'Makefile', 'Jinja', 'CSS', 'Smarty', 'Mustache', 'HCL', 'PowerShell', 'Assembly']","['alerting', 'analytics', 'business-intelligence', 'dashboard', 'data-visualization', 'elasticsearch', 'go', 'grafana', 'hacktoberfest', 'influxdb', 'metrics', 'monitoring', 'mysql', 'postgres', 'prometheus']",378,3461,354,LICENSE,2013-12-11 15:59:56,2023-04-13 10:06:08
echarts,apache,apache/echarts,False,,54799,54799,19437,"Apache ECharts is a powerful, interactive charting and data visualization library for browser",TypeScript,"['TypeScript', 'JavaScript', 'Smarty', 'HTML']","['apache', 'canvas', 'charting-library', 'charts', 'data-visualization', 'data-viz', 'echarts', 'svg', 'visualization']",202,2295,113,LICENSE,2013-04-03 03:18:59,2023-04-13 09:28:56
Apollo-11,chrislgarry,chrislgarry/Apollo-11,False,,54683,54683,6829,Original Apollo 11 Guidance Computer (AGC) source code for the command and lunar modules.,Assembly,['Assembly'],"['agc', 'apollo', 'hacktoberfest', 'nasa']",171,136,75,LICENSE.md,2014-04-03 15:45:02,2023-04-13 04:36:22
the-algorithm,twitter,twitter/the-algorithm,False,,54450,54450,11243,Source code for Twitter's Recommendation Algorithm,Scala,"['Scala', 'Java', 'Starlark', 'Python', 'C++', 'Rust', 'Thrift', 'C', 'Shell', 'CMake', 'Dockerfile']",[],3,314,191,COPYING,2023-03-27 14:57:57,2023-04-13 10:05:48
gatsby,gatsbyjs,gatsbyjs/gatsby,False,,54357,54357,10528,The fastest frontend for the headless web. Build modern websites with React.,JavaScript,"['JavaScript', 'TypeScript', 'CSS', 'HTML', 'Shell', 'Dockerfile', 'PHP', 'EJS', 'Python', 'Less', 'SCSS', 'Stylus']","['blog', 'compiler', 'gatsby', 'graphql', 'react', 'static-site-generator', 'web-app']",420,133,63,LICENSE,2015-05-21 22:43:05,2023-04-13 07:16:15
html5-boilerplate,h5bp,h5bp/html5-boilerplate,False,,54212,54212,12195,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",JavaScript,"['JavaScript', 'HTML']","['best-practices', 'css', 'html', 'html5', 'html5-boilerplate', 'javascript', 'robust']",245,7,4,LICENSE.txt,2010-01-24 18:03:24,2023-04-13 06:12:11
github-readme-stats,anuraghazra,anuraghazra/github-readme-stats,False,,54015,54015,15947,:zap: Dynamically generated stats for your github readmes,JavaScript,"['JavaScript', 'Shell']","['dynamic', 'hacktoberfest', 'profile-readme', 'readme-generator', 'readme-stats', 'serverless']",244,274,176,LICENSE,2020-07-09 10:34:22,2023-04-13 10:17:43
javascript-questions,lydiahallie,lydiahallie/javascript-questions,False,,53868,53868,7661,"A long list of (advanced) JavaScript questions, and their explanations :sparkles:  ",,[],[],187,7,4,LICENSE,2019-06-12 08:26:27,2023-04-13 09:59:30
scikit-learn,scikit-learn,scikit-learn/scikit-learn,False,,53781,53781,24179,scikit-learn: machine learning in Python,Python,"['Python', 'Cython', 'C++', 'C', 'Shell', 'Makefile', 'Starlark']","['data-analysis', 'data-science', 'machine-learning', 'python', 'statistics']",413,2168,596,COPYING,2010-08-17 09:43:38,2023-04-13 08:23:24
awesome-public-datasets,awesomedata,awesomedata/awesome-public-datasets,False,,53735,53735,9252,A topic-centric list of HQ open datasets.,,[],"['aaron-swartz', 'awesome-public-datasets', 'datasets', 'opendata']",146,122,60,LICENSE,2014-11-20 06:20:50,2023-04-13 09:43:25
element,ElemeFE,ElemeFE/element,False,,53265,53265,14526,A Vue.js 2.0 UI Toolkit for Web,Vue,"['Vue', 'JavaScript', 'SCSS', 'Shell', 'Makefile']","['components', 'element-ui', 'javascript', 'ui-kit', 'vue', 'vue-components', 'vuejs']",411,2491,255,LICENSE,2016-09-03 06:19:26,2023-04-13 10:21:25
strapi,strapi,strapi/strapi,False,,53081,53081,6439,"🚀 Strapi is the leading open-source headless CMS. It’s 100% JavaScript, fully customizable and developer-first.",JavaScript,"['JavaScript', 'TypeScript', 'Handlebars', 'HTML', 'Shell']","['api', 'cms', 'cms-framework', 'content-management', 'content-management-system', 'customizable', 'dashboard', 'graphql', 'hacktoberfest', 'hacktoberfest2022', 'headless-cms', 'jamstack', 'javascript', 'koa', 'koa2', 'mysql', 'nodejs', 'rest', 'strapi']",368,362,88,LICENSE,2015-09-30 15:34:48,2023-04-13 10:34:46
HowToCook,Anduin2017,Anduin2017/HowToCook,False,,52838,52838,7671,程序员在家做饭方法指南。Programmer's guide about how to cook at home (Chinese only).,HTML,"['HTML', 'Shell']","['chinese', 'cookbook', 'cooking', 'dishes', 'recipes']",312,358,20,LICENSE,2020-02-29 10:43:49,2023-04-13 09:25:22
rails,rails,rails/rails,False,,52635,52635,21035,Ruby on Rails,Ruby,"['Ruby', 'JavaScript', 'HTML', 'CSS', 'Shell', 'Dockerfile', 'Yacc']","['activejob', 'activerecord', 'framework', 'html', 'mvc', 'rails', 'ruby']",370,810,434,MIT-LICENSE,2008-04-11 02:19:47,2023-04-13 09:03:40
cpython,python,python/cpython,False,,51878,51878,26456,The Python programming language,Python,"['Python', 'C', 'C++', 'M4', 'HTML', 'Batchfile', 'Shell', 'Roff', 'Makefile', 'Objective-C', 'Common Lisp', 'PLSQL', 'PowerShell', 'Rich Text Format', 'Assembly', 'DTrace', 'JavaScript', 'CSS', 'XSLT', 'Dockerfile', 'VBScript']",[],347,8333,1513,LICENSE,2017-02-10 19:23:51,2023-04-13 10:23:53
